"","case_id","charge_count","charge_disposition","sentence_court_name","length_of_case_in_days","age_at_incident","gender","offense_category","days_incident_arrest","sentence","convicted_chicago"
"24",656313520881,1,"Plea Of Guilty","District 1 - Chicago",54,40,"Male","Narcotics",0,"Detention","ja"
"25",681191310627,1,"Plea Of Guilty","District 5 - Bridgeview",112,48,"Female","Retail_Theft",0,"Detention","nee"
"26",673448970222,2,"Plea Of Guilty","District 5 - Bridgeview",671,25,"Male","UUW_Unlawful_Use_of_Weapon",0,"Detention","ja"
"27",697729303488,1,"Plea Of Guilty","District 1 - Chicago",140,30,"Female","Aggravated_DUI",0,"Non-detention","ja"
"28",678483006864,2,"Finding Guilty","District 1 - Chicago",316,54,"Male","Narcotics",0,"Detention","ja"
"29",662196666151,1,"Plea Of Guilty","District 5 - Bridgeview",46,50,"Male","Retail_Theft",0,"Detention","ja"
"30",666914709178,2,"Plea Of Guilty","District 1 - Chicago",478,56,"Male","Narcotics",0,"Detention","ja"
"31",671571888655,1,"Plea Of Guilty","District 2 - Skokie",58,50,"Male","Retail_Theft",0,"Detention","ja"
"32",667751893519,1,"Plea Of Guilty","District 6 - Markham",231,48,"Male","Narcotics",0,"Non-detention","nee"
"33",654577791804,1,"Finding Guilty","District 6 - Markham",296,22,"Male","Armed_Robbery",0,"Non-detention","nee"
"34",699771586119,7,"Plea Of Guilty","District 1 - Chicago",145,28,"Male","Aggravated_DUI",0,"Detention","ja"
"35",681111070111,1,"Plea Of Guilty","District 1 - Chicago",306,29,"Male","Narcotics",0,"Non-detention","ja"
"36",686229570455,1,"Plea Of Guilty","District 5 - Bridgeview",7,44,"Female","Retail_Theft",0,"Non-detention","ja"
"37",692827924543,1,"Plea Of Guilty","District 2 - Skokie",502,19,"Male","Aggravated_DUI",0,"Non-detention","nee"
"38",685744897858,2,"Plea Of Guilty","District 6 - Markham",878,39,"Male","UUW_Unlawful_Use_of_Weapon",0,"Detention","nee"
"39",691333413862,1,"Plea Of Guilty","District 2 - Skokie",31,25,"Male","Burglary",0,"Non-detention","ja"
"40",700268679848,1,"Plea Of Guilty","District 5 - Bridgeview",59,25,"Male","Forgery",0,"Detention","nee"
"41",674914912298,1,"Plea Of Guilty","District 2 - Skokie",42,54,"Male","Narcotics",0,"Detention","ja"
"42",674684624498,1,"Plea Of Guilty","District 1 - Chicago",0,36,"Female","Narcotics",0,"Non-detention","ja"
"43",661575609518,1,"Plea Of Guilty","District 1 - Chicago",44,24,"Male","UUW_Unlawful_Use_of_Weapon",0,"Detention","ja"
"44",666062371055,1,"Plea Of Guilty","District 1 - Chicago",67,21,"Male","Escape_Failure_to_Return",1,"Detention","nee"
"45",663110364669,1,"Plea Of Guilty","District 1 - Chicago",0,22,"Male","Theft",0,"Non-detention","ja"
"46",683716278473,1,"Plea Of Guilty","District 1 - Chicago",487,24,"Male","UUW_Unlawful_Use_of_Weapon",524,"Detention","ja"
"47",679431732976,1,"Plea Of Guilty","District 1 - Chicago",0,22,"Male","Narcotics",0,"Non-detention","ja"
"48",664768585878,1,"Plea Of Guilty","District 1 - Chicago",78,20,"Male","Aggravated_Battery_Police_Officer",0,"Detention","ja"
"49",677946165510,1,"Plea Of Guilty","District 2 - Skokie",40,19,"Male","Retail_Theft",0,"Detention","nee"
"50",675917297703,1,"Plea Of Guilty","District 4 - Maywood",209,22,"Male","Narcotics",0,"Detention","nee"
"51",700185209836,1,"Plea Of Guilty","District 1 - Chicago",0,33,"Male","Narcotics",0,"Non-detention","ja"
"52",664250127801,1,"Plea Of Guilty","District 1 - Chicago",118,33,"Male","Aggravated_DUI",0,"Non-detention","ja"
"53",656311781922,1,"Plea Of Guilty","District 5 - Bridgeview",131,39,"Male","UUW_Unlawful_Use_of_Weapon",54,"Detention","nee"
"54",699406653242,1,"Plea Of Guilty","District 1 - Chicago",8,52,"Male","Narcotics",0,"Detention","ja"
"55",688934396301,1,"Plea Of Guilty","District 3 - Rolling Meadows",0,24,"Male","Burglary",141,"Detention","nee"
"56",664834914726,2,"Verdict Guilty","District 6 - Markham",527,31,"Male","UUW_Unlawful_Use_of_Weapon",0,"Detention","nee"
"57",665136499827,1,"Plea Of Guilty","District 5 - Bridgeview",136,34,"Male","Narcotics",0,"Non-detention","nee"
"58",689921379502,1,"Plea Of Guilty","District 1 - Chicago",686,36,"Male","UUW_Unlawful_Use_of_Weapon",0,"Detention","ja"
"59",670962259464,1,"Plea Of Guilty","District 1 - Chicago",173,27,"Male","Driving_With_Suspended_Or_Revoked_License",0,"Detention","ja"
"60",657135303017,1,"Plea Of Guilty","District 1 - Chicago",85,47,"Male","Retail_Theft",0,"Detention","ja"
"61",698175470573,1,"Plea Of Guilty","District 6 - Markham",49,44,"Male","Driving_With_Suspended_Or_Revoked_License",0,"Detention","nee"
"62",683427859773,1,"Plea Of Guilty","District 3 - Rolling Meadows",138,39,"Male","Aggravated_DUI",0,"Non-detention","nee"
"63",710816954120,2,"Plea Of Guilty","District 1 - Chicago",134,19,"Male","Narcotics",0,"Non-detention","ja"
"64",670724270563,7,"Plea Of Guilty","District 1 - Chicago",35,20,"Male","UUW_Unlawful_Use_of_Weapon",0,"Detention","ja"
"65",691865535185,1,"Plea Of Guilty","District 2 - Skokie",523,18,"Male","Burglary",353,"Non-detention","nee"
"66",707239419493,1,"Plea Of Guilty","District 1 - Chicago",94,20,"Male","Narcotics",0,"Non-detention","ja"
"67",660432368469,1,"Plea Of Guilty","District 2 - Skokie",137,47,"Male","Narcotics",0,"Detention","ja"
"68",670825875428,1,"Plea Of Guilty","District 1 - Chicago",392,17,"Male","Armed_Robbery",0,"Detention","ja"
"69",697455790147,3,"Plea Of Guilty","District 3 - Rolling Meadows",37,24,"Male","Armed_Robbery",7,"Detention","nee"
"70",700878309038,1,"Plea Of Guilty","District 1 - Chicago",435,24,"Male","Robbery",0,"Detention","ja"
"71",684668234080,5,"Plea Of Guilty","District 5 - Bridgeview",166,62,"Male","UUW_Unlawful_Use_of_Weapon",0,"Detention","ja"
"72",687391940048,1,"Plea Of Guilty","District 5 - Bridgeview",158,49,"Female","Retail_Theft",0,"Detention","nee"
"73",677697494435,1,"Plea Of Guilty","District 1 - Chicago",215,22,"Female","Narcotics",0,"Non-detention","ja"
"74",664085672005,1,"Plea Of Guilty","District 1 - Chicago",78,50,"Male","Driving_With_Suspended_Or_Revoked_License",0,"Detention","ja"
"75",656316750375,1,"Plea Of Guilty","District 4 - Maywood",85,31,"Female","Burglary",0,"Non-detention","nee"
"76",682272197591,2,"Plea Of Guilty","District 2 - Skokie",32,27,"Male","Narcotics",0,"Detention","ja"
"77",661305574094,1,"Plea Of Guilty","District 2 - Skokie",125,41,"Female","Retail_Theft",0,"Detention","ja"
"78",656707767631,1,"Plea Of Guilty","District 1 - Chicago",85,17,"Male","UUW_Unlawful_Use_of_Weapon",0,"Non-detention","ja"
"79",704847357767,1,"Plea Of Guilty","District 6 - Markham",296,21,"Male","Narcotics",17,"Non-detention","nee"
"80",710499469969,1,"Plea Of Guilty","District 5 - Bridgeview",57,25,"Male","Residential_Burglary",1,"Detention","nee"
"81",668773904314,2,"Plea Of Guilty","District 1 - Chicago",22,22,"Female","Narcotics",0,"Detention","ja"
"82",687765567718,2,"Plea Of Guilty","District 3 - Rolling Meadows",65,22,"Male","Robbery",41,"Detention","nee"
"83",703548355714,1,"Plea Of Guilty","District 3 - Rolling Meadows",205,41,"Male","Theft",341,"Non-detention","nee"
"84",661738823201,1,"Plea Of Guilty","District 1 - Chicago",281,23,"Male","Narcotics",0,"Detention","ja"
"85",670892452699,1,"Plea Of Guilty","District 3 - Rolling Meadows",29,34,"Male","Narcotics",0,"Non-detention","nee"
"86",656560204575,2,"Plea Of Guilty","District 1 - Chicago",175,19,"Male","UUW_Unlawful_Use_of_Weapon",0,"Detention","ja"
"87",695004852252,1,"Plea Of Guilty","District 5 - Bridgeview",55,30,"Male","Identity_Theft",82,"Non-detention","nee"
"88",677588436890,1,"Plea Of Guilty","District 5 - Bridgeview",48,17,"Male","Possession_of_Stolen_Motor_Vehicle",0,"Non-detention","nee"
"89",681005490483,1,"Plea Of Guilty","District 1 - Chicago",150,29,"Male","Driving_With_Suspended_Or_Revoked_License",0,"Non-detention","ja"
"90",700361838343,1,"Plea Of Guilty","District 2 - Skokie",68,37,"Male","Aggravated_DUI",1,"Non-detention","ja"
"91",683355320358,1,"Plea Of Guilty","District 1 - Chicago",0,18,"Male","Narcotics",0,"Detention","ja"
"92",701121017970,2,"Plea Of Guilty","District 1 - Chicago",127,41,"Male","Narcotics",9,"Detention","ja"
"93",710432395853,1,"Finding Guilty","District 6 - Markham",0,28,"Male","Narcotics",0,"Non-detention","nee"
"94",669052634530,1,"Plea Of Guilty","District 4 - Maywood",38,30,"Male","Theft",177,"Detention","nee"
"95",654381289485,1,"Plea Of Guilty","District 1 - Chicago",428,48,"Male","UUW_Unlawful_Use_of_Weapon",0,"Detention","ja"
"96",687180532370,2,"Finding Guilty","District 1 - Chicago",206,57,"Male","Narcotics",61,"Detention","ja"
"97",655145934411,1,"Plea Of Guilty","District 2 - Skokie",499,46,"Male","Aggravated_Battery_Police_Officer",0,"Detention","ja"
"98",701145860236,1,"Plea Of Guilty","District 2 - Skokie",498,46,"Male","Aggravated_DUI",0,"Non-detention","ja"
"99",688656659775,1,"Plea Of Guilty","District 1 - Chicago",9,19,"Male","Narcotics",0,"Non-detention","ja"
"100",695916314966,1,"Plea Of Guilty","District 1 - Chicago",157,27,"Male","Aggravated_Robbery",0,"Detention","ja"
"101",679250136016,2,"Plea Of Guilty","District 1 - Chicago",42,42,"Female","Residential_Burglary",0,"Detention","ja"
"102",703262669663,1,"Plea Of Guilty","District 1 - Chicago",0,19,"Male","Aggravated_DUI",0,"Detention","nee"
"103",667191700436,1,"Plea Of Guilty","District 1 - Chicago",183,23,"Male","Narcotics",0,"Detention","ja"
"104",663262150910,1,"Plea Of Guilty","District 6 - Markham",1010,51,"Male","Homicide",0,"Detention","nee"
"105",700634109570,1,"Plea Of Guilty","District 1 - Chicago",0,20,"Male","UUW_Unlawful_Use_of_Weapon",0,"Detention","ja"
"106",662867655737,1,"Plea Of Guilty","District 1 - Chicago",32,23,"Male","Narcotics",0,"Detention","ja"
"107",698344149554,3,"Plea Of Guilty","District 2 - Skokie",135,51,"Male","Aggravated_DUI",0,"Non-detention","ja"
"108",675632356920,1,"Plea Of Guilty","District 2 - Skokie",0,31,"Male","Narcotics",0,"Detention","nee"
"109",671817081814,1,"Plea Of Guilty","District 5 - Bridgeview",405,64,"Male","Aggravated_Discharge_Firearm",0,"Non-detention","ja"
"110",692830160347,1,"Plea Of Guilty","District 6 - Markham",560,20,"Female","Retail_Theft",1,"Non-detention","nee"
"111",662113444562,1,"Plea Of Guilty","District 1 - Chicago",0,50,"Male","Escape_Failure_to_Return",7,"Detention","nee"
"112",697120916411,1,"Plea Of Guilty","District 1 - Chicago",296,24,"Female","Narcotics",2,"Non-detention","ja"
"113",650299953718,1,"Finding Guilty","District 1 - Chicago",690,40,"Male","Narcotics",0,"Detention","ja"
"114",652940438097,1,"Plea Of Guilty","District 2 - Skokie",469,22,"Female","Aggravated_Battery_Police_Officer",0,"Non-detention","ja"
"115",669746727423,5,"Plea Of Guilty","District 2 - Skokie",138,30,"Male","Narcotics",0,"Non-detention","nee"
"116",689714940277,1,"Plea Of Guilty","District 1 - Chicago",3,42,"Female","Escape_Failure_to_Return",1,"Non-detention","nee"
"117",665746129018,2,"Plea Of Guilty","District 1 - Chicago",285,51,"Male","Narcotics",2,"Detention","ja"
"118",668384129171,1,"Plea Of Guilty","District 4 - Maywood",65,51,"Male","Driving_With_Suspended_Or_Revoked_License",0,"Detention","nee"
"119",684105556771,2,"Plea Of Guilty","District 2 - Skokie",525,42,"Male","Robbery",0,"Non-detention","ja"
"120",657485082112,1,"Plea Of Guilty","District 1 - Chicago",350,41,"Male","Narcotics",19,"Detention","ja"
"121",689099597365,1,"Plea Of Guilty","District 1 - Chicago",168,39,"Male","Narcotics",0,"Detention","ja"
"122",674185543388,1,"Plea Of Guilty","District 5 - Bridgeview",7,31,"Male","Narcotics",0,"Detention","ja"
"123",651944760104,1,"Plea Of Guilty","District 4 - Maywood",291,51,"Male","Credit_Card_Cases",15,"Detention","nee"
"124",690153903105,1,"Plea Of Guilty","District 5 - Bridgeview",209,42,"Male","Retail_Theft",0,"Detention","nee"
"125",695088073841,1,"Plea Of Guilty","District 1 - Chicago",0,61,"Male","Failure_to_Register_as_a_Sex_Offender",138,"Non-detention","ja"
"126",695809990070,4,"Plea Of Guilty","District 2 - Skokie",323,42,"Female","Aggravated_DUI",0,"Non-detention","ja"
"127",679544765283,1,"Plea Of Guilty","District 1 - Chicago",148,21,"Male","Aggravated_DUI",0,"Non-detention","ja"
"128",677813259391,1,"Plea Of Guilty","District 1 - Chicago",0,52,"Male","Narcotics",0,"Detention","ja"
"129",709964615997,1,"Plea Of Guilty","District 1 - Chicago",55,27,"Male","Aggravated_Battery_Police_Officer",28,"Detention","nee"
"130",692893508123,1,"Plea Of Guilty","District 1 - Chicago",84,43,"Female","Criminal_Damage_to_Property",93,"Detention","nee"
"131",683628833699,1,"Plea Of Guilty","District 1 - Chicago",42,20,"Male","Narcotics",0,"Non-detention","ja"
"132",672661470411,1,"Plea Of Guilty","District 1 - Chicago",31,30,"Male","Retail_Theft",0,"Detention","ja"
"133",700353143550,1,"Plea Of Guilty","District 1 - Chicago",169,24,"Male","Other_Offense",0,"Non-detention","ja"
"134",695370778820,1,"Plea Of Guilty","District 5 - Bridgeview",0,40,"Male","Driving_With_Suspended_Or_Revoked_License",0,"Non-detention","nee"
"135",651864022741,1,"Plea Of Guilty","District 1 - Chicago",387,29,"Male","Narcotics",0,"Non-detention","ja"
"136",664990675730,1,"Plea Of Guilty","District 2 - Skokie",142,36,"Male","Narcotics",0,"Non-detention","ja"
"137",690934447081,1,"Plea Of Guilty","District 1 - Chicago",44,21,"Male","Narcotics",57,"Detention","ja"
"138",696020900903,1,"Plea Of Guilty","District 5 - Bridgeview",66,60,"Male","Retail_Theft",0,"Detention","nee"
"139",677130097095,1,"Plea Of Guilty","District 2 - Skokie",274,42,"Male","Theft",31,"Detention","nee"
"140",657187471774,2,"Plea Of Guilty","District 1 - Chicago",483,35,"Male","Theft",36,"Non-detention","ja"
"141",678185396525,1,"Plea Of Guilty","District 1 - Chicago",122,32,"Male","Driving_With_Suspended_Or_Revoked_License",0,"Detention","ja"
"142",697318909265,3,"Plea Of Guilty","District 5 - Bridgeview",128,52,"Male","Narcotics",0,"Detention","ja"
"143",704941509952,1,"Plea Of Guilty","District 2 - Skokie",261,56,"Male","Aggravated_DUI",0,"Detention","ja"
"144",660460440228,2,"Plea Of Guilty","District 5 - Bridgeview",64,21,"Male","UUW_Unlawful_Use_of_Weapon",0,"Detention","ja"
"145",711703326146,1,"Plea Of Guilty","District 3 - Rolling Meadows",40,29,"Male","Credit_Card_Cases",0,"Non-detention","nee"
"146",656326190436,1,"Plea Of Guilty","District 1 - Chicago",99,23,"Female","Forgery",313,"Non-detention","ja"
"147",698927942789,1,"Plea Of Guilty","District 4 - Maywood",265,25,"Female","Aggravated_DUI",1,"Non-detention","nee"
"148",667688297320,1,"Plea Of Guilty","District 3 - Rolling Meadows",449,19,"Male","Sex_Crimes",4,"Detention","nee"
"149",697916365746,4,"Finding Guilty","District 1 - Chicago",200,23,"Male","UUW_Unlawful_Use_of_Weapon",0,"Non-detention","ja"
"150",642272920951,1,"Plea Of Guilty","District 6 - Markham",449,39,"Male","Narcotics",0,"Detention","nee"
"151",694885360956,1,"Plea Of Guilty","District 1 - Chicago",244,20,"Male","UUW_Unlawful_Use_of_Weapon",0,"Detention","ja"
"152",698684985434,1,"Plea Of Guilty","District 1 - Chicago",92,37,"Female","Narcotics",0,"Non-detention","ja"
"153",690634352516,1,"Finding Guilty","District 6 - Markham",231,42,"Male","Aggravated_DUI",1,"Detention","ja"
"154",694355475437,1,"Plea Of Guilty","District 1 - Chicago",335,31,"Male","Sex_Crimes",191,"Detention","ja"
"155",678562253690,1,"Plea Of Guilty","District 3 - Rolling Meadows",105,34,"Male","Narcotics",0,"Non-detention","nee"
"156",665697189755,1,"Plea Of Guilty","District 1 - Chicago",30,53,"Male","Failure_to_Register_as_a_Sex_Offender",51,"Detention","ja"
"157",654234471697,2,"Plea Of Guilty","District 1 - Chicago",927,53,"Female","Aggravated_Battery_With_A_Firearm",0,"Non-detention","ja"
"158",662141764744,1,"Plea Of Guilty","District 1 - Chicago",560,28,"Male","Possession_of_Stolen_Motor_Vehicle",0,"Non-detention","ja"
"159",652694251248,1,"Plea Of Guilty","District 1 - Chicago",334,19,"Male","Residential_Burglary",267,"Detention","ja"
"160",665251519516,1,"Plea Of Guilty","District 1 - Chicago",151,43,"Male","Armed_Robbery",0,"Detention","ja"
"161",683688951982,1,"Plea Of Guilty","District 2 - Skokie",279,34,"Male","Narcotics",1,"Non-detention","ja"
"162",648429331140,1,"Plea Of Guilty","District 1 - Chicago",1000,23,"Male","Narcotics",37,"Detention","ja"
"163",706772384905,1,"Plea Of Guilty","District 1 - Chicago",272,31,"Male","Aggravated_Discharge_Firearm",0,"Detention","ja"
"164",664056109709,1,"Plea Of Guilty","District 1 - Chicago",512,61,"Male","Sex_Crimes",1561,"Detention","ja"
"165",689997396834,1,"Plea Of Guilty","District 2 - Skokie",67,22,"Female","UUW_Unlawful_Use_of_Weapon",0,"Non-detention","nee"
"166",678230112603,1,"Plea Of Guilty","District 1 - Chicago",294,27,"Male","Narcotics",50,"Non-detention","ja"
"167",660836055280,1,"Plea Of Guilty","District 2 - Skokie",38,21,"Male","Possession_of_Stolen_Motor_Vehicle",0,"Non-detention","ja"
"168",672261758363,1,"Plea Of Guilty","District 5 - Bridgeview",215,19,"Male","Robbery",0,"Detention","ja"
"169",669111510699,1,"Plea Of Guilty","District 2 - Skokie",7,49,"Female","Narcotics",0,"Non-detention","ja"
"170",688412708730,1,"Plea Of Guilty","District 6 - Markham",248,34,"Male","Residential_Burglary",97,"Detention","nee"
"171",670282823508,1,"Plea Of Guilty","District 2 - Skokie",268,23,"Male","Aggravated_DUI",0,"Non-detention","ja"
"172",683128758899,1,"Plea Of Guilty","District 6 - Markham",964,38,"Male","Domestic_Battery",1,"Non-detention","nee"
"173",711431551764,1,"Plea Of Guilty","District 2 - Skokie",101,27,"Male","Aggravated_DUI",0,"Non-detention","ja"
"174",680686515796,1,"Plea Of Guilty","District 2 - Skokie",0,76,"Female","Theft",77,"Non-detention","nee"
"175",678907809600,1,"Plea Of Guilty","District 1 - Chicago",51,21,"Male","Burglary",9,"Detention","ja"
"176",709050669057,1,"Plea Of Guilty","District 4 - Maywood",18,24,"Male","UUW_Unlawful_Use_of_Weapon",0,"Detention","nee"
"177",696384343244,1,"Plea Of Guilty","District 1 - Chicago",412,31,"Male","Aggravated_Robbery",418,"Detention","ja"
"178",671004739738,1,"Plea Of Guilty","District 5 - Bridgeview",38,20,"Female","Narcotics",0,"Non-detention","nee"
"179",694445156014,1,"Plea Of Guilty","District 3 - Rolling Meadows",54,21,"Male","Burglary",3,"Non-detention","nee"
"180",710107459023,1,"Plea Of Guilty","District 3 - Rolling Meadows",0,24,"Male","Forgery",62,"Detention","nee"
"181",655307409136,1,"Plea Of Guilty","District 1 - Chicago",81,45,"Female","Aggravated_DUI",0,"Non-detention","ja"
"182",676934836890,2,"Plea Of Guilty","District 1 - Chicago",3,51,"Male","Narcotics",0,"Detention","ja"
"183",643900337752,2,"Plea Of Guilty","District 1 - Chicago",750,20,"Male","Aggravated_Battery_With_A_Firearm",9,"Detention","ja"
"184",669300808761,1,"Plea Of Guilty","District 5 - Bridgeview",148,31,"Male","Aggravated_DUI",0,"Detention","ja"
"185",681141626097,1,"Plea Of Guilty","District 4 - Maywood",52,34,"Male","Identity_Theft",1,"Detention","nee"
"186",692211836363,2,"Plea Of Guilty","District 1 - Chicago",238,20,"Male","Narcotics",0,"Detention","ja"
"187",670774203516,1,"Plea Of Guilty","District 2 - Skokie",7,44,"Male","Retail_Theft",0,"Detention","ja"
"188",672722582384,1,"Plea Of Guilty","District 6 - Markham",0,32,"Female","Possession_of_Stolen_Motor_Vehicle",1,"Non-detention","nee"
"189",700007587639,1,"Plea Of Guilty","District 1 - Chicago",41,25,"Male","Driving_With_Suspended_Or_Revoked_License",0,"Non-detention","ja"
"190",673603737535,1,"Plea Of Guilty","District 1 - Chicago",147,46,"Male","Aggravated_DUI",0,"Detention","ja"
"191",662273925596,1,"Plea Of Guilty","District 1 - Chicago",391,28,"Male","Aggravated_Battery_Police_Officer",104,"Non-detention","ja"
"192",688822109262,1,"Plea Of Guilty","District 1 - Chicago",237,19,"Male","Narcotics",0,"Non-detention","ja"
"193",662460987854,3,"Plea Of Guilty","District 1 - Chicago",824,28,"Male","Aggravated_Battery_With_A_Firearm",0,"Detention","ja"
"194",663785825862,2,"Plea Of Guilty","District 1 - Chicago",56,18,"Male","Narcotics",0,"Non-detention","ja"
"195",675422688200,1,"Plea Of Guilty","District 2 - Skokie",58,31,"Male","Retail_Theft",0,"Detention","ja"
"196",679079966499,1,"Plea Of Guilty","District 3 - Rolling Meadows",106,51,"Female","Retail_Theft",0,"Non-detention","nee"
"197",687372563081,1,"Plea Of Guilty","District 6 - Markham",62,25,"Male","Other_Offense",0,"Non-detention","nee"
"198",705409041385,1,"Plea Of Guilty","District 1 - Chicago",64,19,"Male","Robbery",35,"Detention","ja"
"199",696081267608,1,"Plea Of Guilty","District 1 - Chicago",0,49,"Male","Narcotics",0,"Non-detention","ja"
"200",700918305086,1,"Plea Of Guilty","District 1 - Chicago",0,31,"Male","Driving_With_Suspended_Or_Revoked_License",0,"Detention","ja"
"201",673843962240,3,"Plea Of Guilty","District 1 - Chicago",452,29,"Female","Domestic_Battery",104,"Non-detention","ja"
"202",688600764678,1,"Plea Of Guilty","District 4 - Maywood",375,45,"Male","Sex_Crimes",0,"Detention","nee"
"203",653877239922,1,"Plea Of Guilty","District 1 - Chicago",439,31,"Male","Narcotics",0,"Detention","ja"
"204",684665253008,1,"Plea Of Guilty","District 1 - Chicago",0,23,"Female","Theft",84,"Non-detention","ja"
"205",683738139667,2,"Plea Of Guilty","District 5 - Bridgeview",377,50,"Female","Narcotics",0,"Non-detention","nee"
"206",662839335554,1,"Plea Of Guilty","District 5 - Bridgeview",7,22,"Male","Narcotics",0,"Detention","ja"
"207",663494922936,1,"Plea Of Guilty","District 2 - Skokie",81,30,"Male","Retail_Theft",0,"Non-detention","ja"
"208",697851527433,1,"Plea Of Guilty","District 3 - Rolling Meadows",34,33,"Male","Narcotics",75,"Detention","nee"
"209",659983717157,3,"Plea Of Guilty","District 2 - Skokie",152,46,"Male","Driving_With_Suspended_Or_Revoked_License",0,"Non-detention","ja"
"210",681269812186,2,"Plea Of Guilty","District 6 - Markham",384,52,"Male","Driving_With_Suspended_Or_Revoked_License",0,"Non-detention","nee"
"211",666651381166,1,"Plea Of Guilty","District 1 - Chicago",963,25,"Male","Other_Offense",0,"Non-detention","ja"
"212",660825373106,1,"Plea Of Guilty","District 1 - Chicago",30,42,"Male","Failure_to_Register_as_a_Sex_Offender",120,"Detention","ja"
"213",683508845558,1,"Plea Of Guilty","District 4 - Maywood",348,43,"Male","Aggravated_Battery_Police_Officer",0,"Detention","nee"
"214",671313280673,1,"Plea Of Guilty","District 5 - Bridgeview",0,54,"Male","Failure_to_Register_as_a_Sex_Offender",0,"Detention","nee"
"215",688070382314,1,"Plea Of Guilty","District 6 - Markham",80,57,"Male","Aggravated_DUI",0,"Non-detention","nee"
"216",695050562020,1,"Plea Of Guilty","District 2 - Skokie",77,32,"Male","Aggravated_DUI",0,"Non-detention","ja"
"217",663508586182,1,"Plea Of Guilty","District 1 - Chicago",311,25,"Male","Narcotics",0,"Detention","ja"
"218",665952071397,3,"Plea Of Guilty","District 1 - Chicago",46,19,"Male","UUW_Unlawful_Use_of_Weapon",0,"Detention","ja"
"219",663909043498,1,"Plea Of Guilty","District 1 - Chicago",366,33,"Male","Aggravated_DUI",0,"Non-detention","ja"
"220",651935071620,1,"Plea Of Guilty","District 1 - Chicago",1087,18,"Male","Armed_Robbery",0,"Detention","ja"
"221",688355074674,2,"Plea Of Guilty","District 3 - Rolling Meadows",77,51,"Male","Theft",273,"Non-detention","nee"
"222",692743957686,1,"Plea Of Guilty","District 4 - Maywood",0,38,"Male","Retail_Theft",0,"Non-detention","nee"
"223",659494821376,1,"Plea Of Guilty","District 1 - Chicago",258,21,"Male","Narcotics",0,"Detention","ja"
"224",688481273382,1,"Plea Of Guilty","District 1 - Chicago",0,28,"Male","Narcotics",0,"Non-detention","ja"
"225",706524210675,2,"Plea Of Guilty","District 4 - Maywood",109,19,"Male","Residential_Burglary",0,"Non-detention","nee"
